iter: 1000, train loss: 7.1240, valid recall[@10]: 0.0090, valid nDCG[@10]: 0.0063
iter: 2000, train loss: 6.8811, valid recall[@10]: 0.0090, valid nDCG[@10]: 0.0042
iter: 3000, train loss: 6.6982, valid recall[@10]: 0.0130, valid nDCG[@10]: 0.0067
iter: 4000, train loss: 6.6125, valid recall[@10]: 0.0180, valid nDCG[@10]: 0.0110
iter: 5000, train loss: 6.5428, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0137
iter: 6000, train loss: 6.4834, valid recall[@10]: 0.0220, valid nDCG[@10]: 0.0122
iter: 7000, train loss: 6.4231, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0118
iter: 8000, train loss: 6.3724, valid recall[@10]: 0.0170, valid nDCG[@10]: 0.0100
iter: 9000, train loss: 6.3416, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0120
iter: 10000, train loss: 6.2912, valid recall[@10]: 0.0300, valid nDCG[@10]: 0.0144
iter: 11000, train loss: 6.2451, valid recall[@10]: 0.0250, valid nDCG[@10]: 0.0164
iter: 12000, train loss: 6.2137, valid recall[@10]: 0.0230, valid nDCG[@10]: 0.0128
iter: 13000, train loss: 6.1709, valid recall[@10]: 0.0230, valid nDCG[@10]: 0.0126
iter: 14000, train loss: 6.1463, valid recall[@10]: 0.0220, valid nDCG[@10]: 0.0128
iter: 15000, train loss: 6.1158, valid recall[@10]: 0.0250, valid nDCG[@10]: 0.0137
iter: 16000, train loss: 6.0825, valid recall[@10]: 0.0250, valid nDCG[@10]: 0.0136
iter: 17000, train loss: 6.0588, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0185
iter: 18000, train loss: 6.0276, valid recall[@10]: 0.0370, valid nDCG[@10]: 0.0199
iter: 19000, train loss: 5.9976, valid recall[@10]: 0.0250, valid nDCG[@10]: 0.0127
iter: 20000, train loss: 5.9729, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0190
iter: 21000, train loss: 5.9445, valid recall[@10]: 0.0290, valid nDCG[@10]: 0.0143
iter: 22000, train loss: 5.9290, valid recall[@10]: 0.0270, valid nDCG[@10]: 0.0128
iter: 23000, train loss: 5.9048, valid recall[@10]: 0.0210, valid nDCG[@10]: 0.0116
iter: 24000, train loss: 5.8768, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0168
iter: 25000, train loss: 5.8500, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0136
iter: 26000, train loss: 5.8367, valid recall[@10]: 0.0380, valid nDCG[@10]: 0.0192
iter: 27000, train loss: 5.8134, valid recall[@10]: 0.0300, valid nDCG[@10]: 0.0145
iter: 28000, train loss: 5.8027, valid recall[@10]: 0.0290, valid nDCG[@10]: 0.0162
iter: 29000, train loss: 5.7834, valid recall[@10]: 0.0340, valid nDCG[@10]: 0.0183
iter: 30000, train loss: 5.7600, valid recall[@10]: 0.0210, valid nDCG[@10]: 0.0110
iter: 31000, train loss: 5.7395, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0128
iter: 32000, train loss: 5.7259, valid recall[@10]: 0.0250, valid nDCG[@10]: 0.0146
iter: 33000, train loss: 5.7010, valid recall[@10]: 0.0360, valid nDCG[@10]: 0.0173
iter: 34000, train loss: 5.6956, valid recall[@10]: 0.0280, valid nDCG[@10]: 0.0152
iter: 35000, train loss: 5.6666, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0178
iter: 36000, train loss: 5.6562, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0155
iter: 37000, train loss: 5.6302, valid recall[@10]: 0.0390, valid nDCG[@10]: 0.0250
iter: 38000, train loss: 5.6141, valid recall[@10]: 0.0290, valid nDCG[@10]: 0.0155
iter: 39000, train loss: 5.6122, valid recall[@10]: 0.0390, valid nDCG[@10]: 0.0227
iter: 40000, train loss: 5.5915, valid recall[@10]: 0.0350, valid nDCG[@10]: 0.0180
iter: 41000, train loss: 5.5825, valid recall[@10]: 0.0390, valid nDCG[@10]: 0.0220
iter: 42000, train loss: 5.5675, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0146
iter: 43000, train loss: 5.5483, valid recall[@10]: 0.0270, valid nDCG[@10]: 0.0155
iter: 44000, train loss: 5.5281, valid recall[@10]: 0.0240, valid nDCG[@10]: 0.0124
iter: 45000, train loss: 5.5162, valid recall[@10]: 0.0380, valid nDCG[@10]: 0.0182
iter: 46000, train loss: 5.5030, valid recall[@10]: 0.0410, valid nDCG[@10]: 0.0221
iter: 47000, train loss: 5.4871, valid recall[@10]: 0.0350, valid nDCG[@10]: 0.0202
iter: 48000, train loss: 5.4744, valid recall[@10]: 0.0310, valid nDCG[@10]: 0.0147
iter: 49000, train loss: 5.4700, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0132
iter: 50000, train loss: 5.4529, valid recall[@10]: 0.0230, valid nDCG[@10]: 0.0123
iter: 51000, train loss: 5.4388, valid recall[@10]: 0.0210, valid nDCG[@10]: 0.0104
iter: 52000, train loss: 5.4253, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0172
iter: 53000, train loss: 5.4205, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0134
iter: 54000, train loss: 5.4141, valid recall[@10]: 0.0300, valid nDCG[@10]: 0.0153
iter: 55000, train loss: 5.3910, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0177
iter: 56000, train loss: 5.3870, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0170
iter: 57000, train loss: 5.3727, valid recall[@10]: 0.0310, valid nDCG[@10]: 0.0162
iter: 58000, train loss: 5.3552, valid recall[@10]: 0.0370, valid nDCG[@10]: 0.0186
iter: 59000, train loss: 5.3555, valid recall[@10]: 0.0360, valid nDCG[@10]: 0.0206
iter: 60000, train loss: 5.3413, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0136
iter: 61000, train loss: 5.3382, valid recall[@10]: 0.0240, valid nDCG[@10]: 0.0136
iter: 62000, train loss: 5.3207, valid recall[@10]: 0.0310, valid nDCG[@10]: 0.0160
test recall[@10, @20]: [0.0255, 0.0388], test nDCG[@10, @20]: [0.0137, 0.0171]
