iter: 1000, train loss: 7.1270, valid recall[@10]: 0.0100, valid nDCG[@10]: 0.0048
iter: 2000, train loss: 6.9082, valid recall[@10]: 0.0120, valid nDCG[@10]: 0.0050
iter: 3000, train loss: 6.6992, valid recall[@10]: 0.0110, valid nDCG[@10]: 0.0067
iter: 4000, train loss: 6.6011, valid recall[@10]: 0.0170, valid nDCG[@10]: 0.0107
iter: 5000, train loss: 6.5169, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0116
iter: 6000, train loss: 6.4595, valid recall[@10]: 0.0280, valid nDCG[@10]: 0.0138
iter: 7000, train loss: 6.3957, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0131
iter: 8000, train loss: 6.3442, valid recall[@10]: 0.0150, valid nDCG[@10]: 0.0075
iter: 9000, train loss: 6.3031, valid recall[@10]: 0.0240, valid nDCG[@10]: 0.0128
iter: 10000, train loss: 6.2462, valid recall[@10]: 0.0240, valid nDCG[@10]: 0.0124
iter: 11000, train loss: 6.1998, valid recall[@10]: 0.0230, valid nDCG[@10]: 0.0148
iter: 12000, train loss: 6.1609, valid recall[@10]: 0.0200, valid nDCG[@10]: 0.0109
iter: 13000, train loss: 6.1216, valid recall[@10]: 0.0210, valid nDCG[@10]: 0.0102
iter: 14000, train loss: 6.0894, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0150
iter: 15000, train loss: 6.0516, valid recall[@10]: 0.0190, valid nDCG[@10]: 0.0101
iter: 16000, train loss: 6.0169, valid recall[@10]: 0.0270, valid nDCG[@10]: 0.0144
iter: 17000, train loss: 5.9872, valid recall[@10]: 0.0270, valid nDCG[@10]: 0.0172
iter: 18000, train loss: 5.9491, valid recall[@10]: 0.0330, valid nDCG[@10]: 0.0172
iter: 19000, train loss: 5.9224, valid recall[@10]: 0.0240, valid nDCG[@10]: 0.0120
iter: 20000, train loss: 5.8921, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0158
iter: 21000, train loss: 5.8565, valid recall[@10]: 0.0300, valid nDCG[@10]: 0.0160
iter: 22000, train loss: 5.8446, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0132
iter: 23000, train loss: 5.8093, valid recall[@10]: 0.0270, valid nDCG[@10]: 0.0132
iter: 24000, train loss: 5.7823, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0145
iter: 25000, train loss: 5.7499, valid recall[@10]: 0.0240, valid nDCG[@10]: 0.0126
iter: 26000, train loss: 5.7333, valid recall[@10]: 0.0340, valid nDCG[@10]: 0.0176
iter: 27000, train loss: 5.7115, valid recall[@10]: 0.0230, valid nDCG[@10]: 0.0121
iter: 28000, train loss: 5.6911, valid recall[@10]: 0.0220, valid nDCG[@10]: 0.0124
iter: 29000, train loss: 5.6781, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0183
iter: 30000, train loss: 5.6492, valid recall[@10]: 0.0220, valid nDCG[@10]: 0.0106
iter: 31000, train loss: 5.6195, valid recall[@10]: 0.0230, valid nDCG[@10]: 0.0130
iter: 32000, train loss: 5.6091, valid recall[@10]: 0.0230, valid nDCG[@10]: 0.0157
iter: 33000, train loss: 5.5879, valid recall[@10]: 0.0330, valid nDCG[@10]: 0.0167
iter: 34000, train loss: 5.5775, valid recall[@10]: 0.0300, valid nDCG[@10]: 0.0153
iter: 35000, train loss: 5.5490, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0123
iter: 36000, train loss: 5.5390, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0124
iter: 37000, train loss: 5.5057, valid recall[@10]: 0.0390, valid nDCG[@10]: 0.0222
iter: 38000, train loss: 5.4965, valid recall[@10]: 0.0310, valid nDCG[@10]: 0.0156
iter: 39000, train loss: 5.4818, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0198
iter: 40000, train loss: 5.4639, valid recall[@10]: 0.0310, valid nDCG[@10]: 0.0170
iter: 41000, train loss: 5.4591, valid recall[@10]: 0.0350, valid nDCG[@10]: 0.0225
iter: 42000, train loss: 5.4359, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0180
iter: 43000, train loss: 5.4156, valid recall[@10]: 0.0250, valid nDCG[@10]: 0.0149
iter: 44000, train loss: 5.3970, valid recall[@10]: 0.0230, valid nDCG[@10]: 0.0115
iter: 45000, train loss: 5.3878, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0180
iter: 46000, train loss: 5.3636, valid recall[@10]: 0.0410, valid nDCG[@10]: 0.0217
iter: 47000, train loss: 5.3554, valid recall[@10]: 0.0300, valid nDCG[@10]: 0.0163
iter: 48000, train loss: 5.3437, valid recall[@10]: 0.0230, valid nDCG[@10]: 0.0132
iter: 49000, train loss: 5.3332, valid recall[@10]: 0.0280, valid nDCG[@10]: 0.0132
iter: 50000, train loss: 5.3295, valid recall[@10]: 0.0310, valid nDCG[@10]: 0.0172
iter: 51000, train loss: 5.3089, valid recall[@10]: 0.0240, valid nDCG[@10]: 0.0127
iter: 52000, train loss: 5.2900, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0182
iter: 53000, train loss: 5.2875, valid recall[@10]: 0.0280, valid nDCG[@10]: 0.0156
iter: 54000, train loss: 5.2703, valid recall[@10]: 0.0300, valid nDCG[@10]: 0.0131
iter: 55000, train loss: 5.2523, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0125
iter: 56000, train loss: 5.2537, valid recall[@10]: 0.0310, valid nDCG[@10]: 0.0167
iter: 57000, train loss: 5.2325, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0176
iter: 58000, train loss: 5.2150, valid recall[@10]: 0.0250, valid nDCG[@10]: 0.0135
iter: 59000, train loss: 5.2177, valid recall[@10]: 0.0360, valid nDCG[@10]: 0.0210
iter: 60000, train loss: 5.1957, valid recall[@10]: 0.0260, valid nDCG[@10]: 0.0139
iter: 61000, train loss: 5.1879, valid recall[@10]: 0.0230, valid nDCG[@10]: 0.0122
iter: 62000, train loss: 5.1759, valid recall[@10]: 0.0340, valid nDCG[@10]: 0.0187
test recall[@10, @20]: [0.0234, 0.0354], test nDCG[@10, @20]: [0.0128, 0.0158]
