iter: 1000, train loss: 7.0707, valid recall[@10]: 0.0180, valid nDCG[@10]: 0.0091
iter: 2000, train loss: 6.7520, valid recall[@10]: 0.0120, valid nDCG[@10]: 0.0074
iter: 3000, train loss: 6.5290, valid recall[@10]: 0.0310, valid nDCG[@10]: 0.0173
iter: 4000, train loss: 6.3140, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0177
iter: 5000, train loss: 6.1166, valid recall[@10]: 0.0460, valid nDCG[@10]: 0.0239
iter: 6000, train loss: 5.9599, valid recall[@10]: 0.0490, valid nDCG[@10]: 0.0280
iter: 7000, train loss: 5.8358, valid recall[@10]: 0.0440, valid nDCG[@10]: 0.0237
iter: 8000, train loss: 5.7113, valid recall[@10]: 0.0520, valid nDCG[@10]: 0.0296
iter: 9000, train loss: 5.6134, valid recall[@10]: 0.0630, valid nDCG[@10]: 0.0373
iter: 10000, train loss: 5.5194, valid recall[@10]: 0.0610, valid nDCG[@10]: 0.0318
iter: 11000, train loss: 5.4177, valid recall[@10]: 0.0650, valid nDCG[@10]: 0.0326
iter: 12000, train loss: 5.3496, valid recall[@10]: 0.0770, valid nDCG[@10]: 0.0474
iter: 13000, train loss: 5.2798, valid recall[@10]: 0.0700, valid nDCG[@10]: 0.0400
iter: 14000, train loss: 5.2043, valid recall[@10]: 0.0780, valid nDCG[@10]: 0.0443
iter: 15000, train loss: 5.1429, valid recall[@10]: 0.0700, valid nDCG[@10]: 0.0408
iter: 16000, train loss: 5.0783, valid recall[@10]: 0.0800, valid nDCG[@10]: 0.0465
iter: 17000, train loss: 5.0236, valid recall[@10]: 0.0700, valid nDCG[@10]: 0.0389
iter: 18000, train loss: 4.9717, valid recall[@10]: 0.0830, valid nDCG[@10]: 0.0476
iter: 19000, train loss: 4.9324, valid recall[@10]: 0.0930, valid nDCG[@10]: 0.0531
iter: 20000, train loss: 4.8853, valid recall[@10]: 0.0890, valid nDCG[@10]: 0.0532
iter: 21000, train loss: 4.8430, valid recall[@10]: 0.0810, valid nDCG[@10]: 0.0459
iter: 22000, train loss: 4.8037, valid recall[@10]: 0.0910, valid nDCG[@10]: 0.0569
iter: 23000, train loss: 4.7606, valid recall[@10]: 0.0860, valid nDCG[@10]: 0.0477
iter: 24000, train loss: 4.7398, valid recall[@10]: 0.0780, valid nDCG[@10]: 0.0419
iter: 25000, train loss: 4.6875, valid recall[@10]: 0.0870, valid nDCG[@10]: 0.0516
